id,name,mrp,sp,category
4.79602E+12,"fnf,daia",390,390,
4.79602E+12,"fnf,daia",195,195,
4.79602E+12,uidca fgdksla,490,490,
4.79207E+12,rdks mjqvra,350,350,
4.79111E+12,mersia,200,200,
4.79207E+12,rdks mjqvra,350,350,
4.79111E+12,mersia,200,200,
4.79207E+12,fldfydUs mjqvra,350,350,
4.79202E+12,mjqvra,175,175,
4.79202E+12,"na,ela khsga",250,250,
4.79202E+12,"na,ela khsga",180,180,
4.79208E+12,fmdkavaia,530,530,
4.79601E+12,fmdkavaia,530,530,
4.79202E+12,fikaga,850,850,
4.79601E+12,"pkaokdf,am fndvsf,daIka",420,420,
4.79601E+12,"pkaokdf,am fndvsf,daIka",420,420,
4.79601E+12,"pkaokdf,am fmaiafjdIA",390,390,
4.79601E+12,"pkaokdf,am fmaiafjdIA",420,420,
4.79601E+12,"pkaokdf,am fmaiafjdIA",420,420,
8.90125E+12,"kjr;ak Ths,a",220,220,
4.79602E+12,"fk,quaf;,a",380,380,
4.79202E+12,flaId,250,250,
4.79202E+12,flaId,250,250,
4.79001E+12,"pkaokdf,am ",720,720,
4.79205E+12,"fndvsf,daIka",650,650,
4.79205E+12,"fndvsf,daIka",390,390,
4.79205E+12,"fndvsf,daIka",390,390,
4.79205E+12,"fndvsf,daIka",390,390,
4.79205E+12,fnans fjdIa,280,280,
4.79205E+12,fnans Ieuamq,280,280,
4.79205E+12,"fnans fldf,dka",500,500,
4.79205E+12,"fnans fldf,dka",500,500,
4.79205E+12,"fnans fldf,dka",500,500,
4.79205E+12,mekavd lqSua,330,330,
4.79205E+12,mekavd lqSua,330,330,
4.79205E+12,mekavd lqSua,330,330,
4.79207E+12,fldfydUs mjqvra,300,300,
4.79207E+12,fldfydUs fnanslsqua,185,185,
4.79207E+12,fnanslsqua,185,185,
4.79207E+12,fnanslsqua,350,350,
4.79207E+12,fnanslsqua,350,350,
4.79207E+12,fnanslsqua,350,350,
4.79205E+12,fmaiafjdIA,370,370,
4.79205E+12,fmaiafjdIA,370,370,
4.79205E+12,fmaiafjdIA,195,195,
4.79205E+12,Ieuamq,350,350,
4.79205E+12,"fldf,dka",360,360,
8.43963E+12,fikaga,350,350,
8.90125E+12,yekavaiua,450,450,
4.79205E+12,"fldf,dka",360,360,
4.79111E+12,fIrus inka,145,145,
4.79111E+12,fIrus mela,435,385,
