id,බ්ප්,mrp,sp,category
4.79E+12,අමිර්තා,150,145,
4.79E+12,යෝගට් පානය,160,160,
10000,බීම කුඩු,1000,900,
4.79E+12,කෝපි,370,370,
4.79E+12,සිද්දාලේප,110,99,
4.79E+12,සිද්දාලේප,285,285,
4.79E+12,සිද්දාලේප,60,60,
4.79E+12,බාම්,100,100,
4.79E+12,අයඩෙක්ස්,190,172,
4.79E+12,සිද්දාලේප,120,120,
4.79E+12,නූඩ්ල්ස්,125,125,
4.79E+12,ඇය,150,150,
4.79E+12,අමිර්තා,150,150,
4.79E+12,කෝපි,25,25,
4.79E+12,ඇය,150,150,
4.79E+12,අමිර්තා,150,150,
4.79E+12,කෝපි,25,25,
4.79E+12,පෙයාස් කොලොන්,360,360,
4.79E+12,පෙයාස් කොලොන්,360,360,
4.79E+12,පෙයාස් කොලොන්,575,575,
4.79E+12,පෙයාස් කොලොන්,360,360,
4.79E+12,පෙයාස් කොලොන්,360,360,
4.79E+12,පෙයාස් කොලොන්,360,360,
4.79E+12,පෙයාස් පවුඩර්,315,315,
4.79E+12,පෙයාස් කුීම්,800,800,
4.79E+12,පෙයාස් කුීම්,1100,1100,
4.79E+12,පෙයාස් කුීම්,370,370,
4.79E+12,පෙයාස් කුීම්,270,270,
4.79E+12,පෙයාස් කුීම්,370,370,
4.79E+12,පෙයාස් කුීම්,180,180,
4.79E+12,පෙයාස් කුීම්,800,800,
4.79E+12,වැස්ලින්,780,780,
4.79E+12,සන්සිල්ක්,700,700,
4.80E+12,සන්සිල්ක්,150,150,
4.79E+12,සන්සිල්ක්,700,700,
4.79E+12,සන්සිල්ක්,385,385,
4.79E+12,සන්සිල්ක්,625,625,
4.79E+12,සන්සිල්ක්,625,625,
4.79E+12,සන්සිල්ක්,150,150,
4.79E+12,සන්සිල්ක්,335,335,
4.79E+12,සන්සිල්ක්,625,625,
4.79E+12,සන්සිල්ක්,700,700,
4.80E+12,සන්සිල්ක්,150,150,
4.79E+12,ල ෂැම්පු,300,300,
4.79E+12,ල ෂැම්පු,520,520,
4.79E+12,ල ෂැම්පු,520,520,
4.79E+12,ල ෂැම්පු,470,470,
4.79E+12,ල ෂැම්පු,520,520,
4.79E+12,ල ෂැම්පු,520,520,
4.79E+12,ල ෂැම්පු,130,130,
4.79E+12,ඩව්,800,800,
4.79E+12,ඩව,750,750,
4.79E+12,ඩව,500,500,
4.79E+12,ඩව,500,500,
